"Gene Symbol" "Name" "Chr Band" "Tumour Types(Somatic)" "Tumour Types(Germline)" "Mutation Types" "Translocation Partner" "Synonyms"
"1" "AKT1" "v-akt murine thymoma viral oncogene homolog 1" "14q32.32" "breast, colorectal, ovarian, NSCLC" NA "Mis" NA "AKT1,P31749,RAC-ALPHA,RAC,PRKBA,PKB-ALPHA,PKB,MGC99656,AKT,ENSG00000142208,207"
"2" "APOBEC3B" "apolipoprotein B mRNA editing enzyme catalytic subunit 3B" "22q13.1" NA "breast cancer" "D" NA "ARP4,9582,APOBEC3B,ENSG00000179750,DJ742C19_2,_phorbolin 3_,PHRBNL,FLJ21201,Q9UH17,bK150C2_2,APOBEC1L,ARCD3"
"3" "ARID1A" "AT rich interactive domain 1A (SWI-like)" "1p35.3" "clear cell ovarian carcinoma, RCC, breast" NA "Mis, N, F, S, D, T" "MAST2" "BAF250,ARID1A,8289,ENSG00000117713,SMARCF1,C1orf4,BM029,B120,RP1-50O24_1,P270,BAF250a"
"4" "ARID1B" "AT rich interactive domain 1B" "6q25.1" "breast, hepatocellular carcinoma" NA "Mis, F, N, O" NA "6A3-5,57492,ARID1B,ENSG00000049618,p250R,KIAA1235,ELD/OSA1,DAN15,BRIGHT,BAF250b"
"5" "BAP1" "BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)" "3p21.31-p21.2" "uveal melanoma, breast, NSCLC, RCC" "mesothelioma, uveal melanoma" "N, Mis, F, S, O" NA "DKFZp686N04275,8314,BAP1,ENSG00000163930,Q92560,KIAA0272,hucep-6,HUCEP-13,FLJ37180,FLJ35406"
"6" "BRCA1" "familial breast/ovarian cancer gene 1" "17q21" "ovarian" "breast, ovarian" "D, Mis, N, F, S" NA "BRCAI,BRCA1,672,ENSG00000012048,IRIS,BRCC1,RNF53,PSCP"
"7" "BRCA2" "familial breast/ovarian cancer gene 2" "13q12" "breast, ovarian, pancreatic" "breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)" "D, Mis, N, F, S" NA "FAD,675,BRCA2,ENSG00000139618,FACD,FAD1,FANCD,FANCD1,BRCC2,RP11-298P3_4"
"8" "BRIP1" "BRCA1 interacting protein C-terminal helicase 1" "17q22" NA "AML, leukaemia, breast" "F, N, Mis" NA "MGC126521,BRIP1,83990,ENSG00000136492,FANCJ,FLJ90232,Q9BX63,MGC126523,OF"
"9" "CASP8" "caspase 8, apoptosis-related cysteine peptidase" "2q33-q34" "hepatocellular, oral squamous cell, breast" NA "N, S, F" NA "ALPS2B,CASP8,841,ENSG00000064012,MGC78473,CAP4,MACH,MCH5,FLICE"
"10" "CCND1" "cyclin D1" "11q13" "CLL, B-ALL, breast" NA "T" "IGH, FSTL3" "BCL1,595,CCND1,ENSG00000110092,PRAD1,U21B31,D11S287E"
"11" "CDH1" "cadherin 1, type 1, E-cadherin (epithelial) (ECAD)" "16q22.1" "lobular breast, gastric" "gastric" "Mis, N, F, S" NA "uvomorulin,999,P12830,CDH1,ENSG00000039068,CDHE,Arc-1,UVO,LCAM,CD324,ECAD"
"12" "CDKN1B" "cyclin-dependent kinase inhibitor 1B (p27, Kip1)" "12p13.1-p12" "breast, small intestine neuroendocrine tumours" "pituitary, parathyroid" "F" NA "CDKN4,1027,CDKN1B,ENSG00000111276,MEN4,P27KIP1,P46527,MEN1B,KIP1"
"13" "CHEK2" "CHK2 checkpoint homolog (S. pombe)" "22q12.1" NA "breast" "F" NA "bA444G7,11200,CHEK2,ENSG00000183765,O96017,RAD53,RP11-436C9_1,PP1425,LFS2,CHK2,HuCds1"
"14" "CTCF" "CCCTC-binding factor" "16q22.1" "endometrial, breast, head and neck cancer" NA "Mis, N" NA "P49711,10664,CTCF,ENSG00000102974"
"15" "EP300" "300 kd E1A-Binding protein gene" "22q13" "colorectal, breast, pancreatic, AML, ALL, DLBCL" NA "T,  N, F, Mis, O" "KMT2A, KAT6A" "ENSG00000100393,2033,EP300,RP1-85F18_1,p300"
"16" "ERBB2" "v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)" "17q21.1" "breast, ovarian, other tumour types, NSCLC, gastric" NA "A, Mis, O" NA "c-erb B2,ERBB2,2064,P04626,ENSG00000141736,c-erbB2,HER-2/neu,HER2,TKR1,NEU,NGL,HER-2"
"17" "ESR1" "estrogen receptor 1" "6q25.1" "breast" NA "Mis" NA "ESR,2099,ESR1,ENSG00000091831,RP1-130E4_1,NR3A1,ESRA,DKFZp686N23123,ER,Era"
"18" "ETV6" "ets variant gene 6 (TEL oncogene)" "12p13" "congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS" NA "T" "NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5" "TEL/ABL,2120,ETV6,ENSG00000139083,P41212,TEL"
"19" "FOXA1" "forkhead box A1" "14q12-q13" "breast, prostate" NA "Mis, F" NA "TCF3A,3169,FOXA1,ENSG00000129514,P55317,HNF3A,MGC33105"
"20" "GATA3" "GATA binding protein 3" "10p15" "breast" NA "F, N, S" NA "HDR,GATA3,2625,ENSG00000107485,MGC5445,MGC5199,MGC2346"
"21" "KEAP1" "kelch like ECH associated protein 1" "19p13.2" "NSCLC, breast carcinoma" NA "Mis, N, F" NA "INrf2,ENSG00000079999,9817,KEAP1,Q14145,MGC9454,MGC4407,MGC20887,MGC1114,MGC10630,KLHL19,KIAA0132"
"22" "MAP2K4" "mitogen-activated protein kinase kinase 4" "17p11.2" "pancreatic, breast, colorectal" NA "D, Mis, N" NA "MEK4,6416,MAP2K4,P45985,ENSG00000065559,SERK1,JNKK1,MKK4,PRKMK4,MAPKK4,JNKK,SEK1"
"23" "MAP3K1" "mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase" "5q11.2" "luminal A breast" NA "N, F, Mis, O, S" NA "ENSG00000095015,MAP3K1,4214,Q13233,MEKK1,MEKK,MAPKKK1"
"24" "MAP3K13" "mitogen-activated protein kinase kinase kinase 13" "3q27" "breast" NA "F" NA "MGC133196,9175,MAP3K13,ENSG00000073803,LZK"
"25" "NCOR1" "nuclear receptor corepressor 1" "17p11.2" "breast" NA "Mis, F, N, O" NA "hCIT529I10,NCOR1,9611,ENSG00000141027,N-CoR,MGC104216,TRAC1,O75376,hN-CoR,KIAA1047"
"26" "NOTCH1" "Notch homolog 1, translocation-associated (Drosophila) (TAN1)" "9q34.3" "T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC" NA "T, Mis, O" "TRB, SEC16A, GABBR2" "TAN1,NOTCH1,P46531,4851,ENSG00000148400,hN1"
"27" "NTRK3" "neurotrophic tyrosine kinase, receptor, type 3" "15q25" "congenital fibrosarcoma, secretory breast" NA "T" "ETV6" "TRKC,4916,NTRK3,ENSG00000140538,Q16288,gp145(trkC)"
"28" "PALB2" "partner and localizer of BRCA2" "16p12.1" NA "Wilms tumour, medulloblastoma, AML ,breast" "F, N, Mis" NA "ENSG00000083093,79728,PALB2"
"29" "PBRM1" "polybromo 1" "3p21" "clear cell renal carcinoma, breast" NA "Mis, N, F, S, D, O" NA "BAF180,55193,PBRM1,PB1,MGC156156,MGC156155"
"30" "PIK3CA" "phosphoinositide-3-kinase, catalytic, alpha polypeptide" "3q26.3" "colorectal, gastric, glioblastoma, breast" NA "Mis" NA "MGC142161,5290,PIK3CA,ENSG00000121879,P42336,MGC142163,p110-alpha,PI3K"
"31" "PPM1D" "protein phosphatase, Mg2+/Mn2+ dependent 1D" "17q23.3" "glioma, ovarian cancer, breast cancer" NA "A, Mis, N, F" NA "Wip1,PPM1D,8493,ENSG00000170836,O15297,WIP1,PP2C-DELTA"
